x y z dx dy dz magnitude
5.38409 1.02536 4.19554 -3.33824 3.2889 2.51463 5.31828
1.6847 2.96926 -1.33449 5.19317 0.563092 5.46853 7.56247
0.340929 1.97939 2.59198 4.36488 4.39919 0.774696 6.24542
3.25943 6.01666 5.8993 1.47079 -5.47203 -8.92144 10.5687
1.46029 1.44927 3.73468 6.49374 3.73348 -2.14723 7.79218
1.58821 5.55921 3.06546 3.95955 -2.59341 1.45528 4.95193
4.76795 6.31389 3.382 -2.40141 -1.43241 2.21043 3.56435
2.6299 1.9297 0.446315 1.56648 3.18885 7.33826 8.15308
0.84939 1.95011 1.29994 4.26293 2.72156 3.37056 6.07784
5.48228 4.95077 4.13075 -4.12278 -7.16885 -0.0386259 8.2699
4.90982 6.35409 5.15472 -2.25876 -4.32025 -5.09193 7.04942
4.50651 1.06757 2.47714 -1.5633 4.26752 3.85764 5.96129
4.98773 4.35604 5.27342 -3.24144 -1.52762 -0.265676 3.59321
1.91735 2.1319 4.84028 2.73273 2.92773 -3.21537 5.13596
5.13632 5.86442 3.48801 -0.438645 -3.92618 -2.01197 4.43343
4.98872 18.1187 12.1649 -2.97227 -16.174 -10.6299 19.5813
-0.906055 4.91851 1.28957 13.0624 -3.55847 3.22598 13.9175
4.98938 0.77816 3.43731 -2.80058 7.01113 1.8143 7.76472
2.23411 5.4086 2.16042 -0.0938993 -3.77119 -0.117796 3.7742
5.45608 3.63467 6.08425 -2.80665 -1.71741 -5.00318 5.9882
0.0252836 4.72625 -5.09751 4.22915 -3.76266 10.5885 12.0067
4.24095 4.96622 -0.1142 -1.06249 -4.78898 5.66195 7.49139
5.2877 6.13876 4.25676 -3.37203 -5.39912 -0.612262 6.39499
2.78836 5.05816 0.533302 2.30703 -4.7232 4.56268 6.96053
-0.805193 5.28618 1.54502 6.3245 -2.18173 3.17263 7.40438
5.00276 6.44634 5.12558 -2.18592 -6.71749 -8.9294 11.3858
1.3876 2.78302 4.37661 3.85241 -0.303311 -3.47509 5.19705
1.90878 -15.2815 4.8861 3.26472 34.9461 -1.3666 35.1248
6.45283 3.12881 0.84253 -5.74638 -0.63465 9.05395 10.7423
-7.14428 1.9476 2.45053 16.1406 3.3344 -0.402747 16.4863
5.80074 2.67874 4.0807 -53.4065 1.44472 -3.18275 53.5208
2.40309 0.889458 2.85379 3.02281 2.75742 3.16188 5.17091
2.00628 2.06585 1.12493 2.55323 3.73683 4.20522 6.17793
6.28464 4.56151 -5.23515 -5.13351 -1.90133 9.325 10.8131
5.36098 1.63917 4.26761 -3.02478 3.82676 -2.0779 5.30199
3.31941 5.78026 6.17984 1.59884 -3.25333 -5.58201 6.65578
-0.0291953 4.71322 -5.09977 5.83742 -2.07019 9.15698 11.0549
2.26811 4.8646 5.49294 4.05617 -3.05116 -3.15934 5.97859
2.57787 4.95574 0.530872 3.14444 -3.13134 2.82796 5.26214
0.726556 4.9767 2.91805 4.90346 -7.31152 1.15166 8.87854
-0.0351916 3.87531 3.92473 5.57288 -0.468322 -4.0667 6.9148
5.31005 2.78058 17.5 -3.24695 1.7702 -16.711 17.1153
5.21435 1.4033 2.70389 -3.15334 1.09349 3.11209 4.56337
4.333 4.8204 -12.6024 -0.986905 -3.31201 45.2641 45.3958
1.2434 4.83409 3.73435 5.35565 -2.399 -2.50153 6.37933
4.02209 6.69516 5.36409 -0.158285 -6.73062 -9.29685 11.4786
5.06938 5.71925 4.91477 -5.00284 -3.06737 -3.73173 6.95435
3.12075 0.386902 2.3897 3.39948 4.75146 -0.209254 5.84608
3.31253 1.30485 1.52337 -0.817976 3.54837 4.30319 5.63715
1.43885 2.76834 4.4237 3.19955 1.90006 -3.73699 5.27375
5.82312 -4.69707 1.19522 -3.74063 9.00495 5.07876 10.9943
5.50366 1.5315 3.40858 -4.60933 2.37467 0.740989 5.23775
1.11935 3.65361 4.57895 0.736421 -1.13087 -3.83374 4.06432
